Designator,Mid X,Mid Y,Rotation,Layer
D1,31.115,-57.15,90.0,bottom
D10,222.885,-57.15,90.0,bottom
D11,241.935,-57.15,90.0,bottom
D12,260.985,-57.15,90.0,bottom
D13,280.035,-57.15,90.0,bottom
D14,299.085,-57.15,90.0,bottom
D15,31.115,-76.2,90.0,bottom
D16,50.165,-76.2,90.0,bottom
D17,69.215,-76.2,90.0,bottom
D18,88.265,-76.2,90.0,bottom
D19,107.315,-76.2,90.0,bottom
D2,50.165,-57.15,90.0,bottom
D20,126.365,-76.2,90.0,bottom
D21,145.415,-76.2,90.0,bottom
D22,184.785,-76.2,90.0,bottom
D23,203.835,-76.2,90.0,bottom
D24,222.885,-76.2,90.0,bottom
D25,242.57,-76.2,90.0,bottom
D26,260.35,-76.2,90.0,bottom
D27,280.035,-76.2,90.0,bottom
D28,299.085,-76.2,90.0,bottom
D29,31.115,-95.25,90.0,bottom
D3,69.215,-57.15,90.0,bottom
D30,50.165,-95.25,90.0,bottom
D31,69.215,-95.25,90.0,bottom
D32,88.265,-95.25,90.0,bottom
D33,107.315,-95.25,90.0,bottom
D34,126.365,-95.25,90.0,bottom
D35,145.415,-95.25,90.0,bottom
D36,184.785,-95.25,90.0,bottom
D37,203.835,-95.25,90.0,bottom
D38,222.885,-95.25,90.0,bottom
D39,241.935,-95.25,90.0,bottom
D4,88.265,-57.15,90.0,bottom
D40,260.985,-95.25,90.0,bottom
D41,280.035,-95.25,90.0,bottom
D42,50.165,-114.3,90.0,bottom
D43,69.215,-114.3,90.0,bottom
D44,88.265,-114.3,90.0,bottom
D45,107.315,-114.3,90.0,bottom
D46,126.365,-114.3,90.0,bottom
D47,145.415,-114.3,90.0,bottom
D48,184.785,-114.3,90.0,bottom
D49,203.835,-114.3,90.0,bottom
D5,107.315,-57.15,90.0,bottom
D50,222.885,-114.3,90.0,bottom
D51,241.935,-114.3,90.0,bottom
D52,260.985,-114.3,90.0,bottom
D53,280.035,-114.3,90.0,bottom
D54,59.055,-133.35,90.0,bottom
D55,78.105,-133.35,90.0,bottom
D56,97.155,-133.35,90.0,bottom
D57,135.255,-133.35,90.0,bottom
D58,193.675,-133.35,90.0,bottom
D59,231.775,-133.35,90.0,bottom
D6,126.365,-57.15,90.0,bottom
D60,250.825,-133.35,90.0,bottom
D61,269.875,-133.35,90.0,bottom
D62,30.988,-34.29,90.0,bottom
D7,145.415,-57.15,90.0,bottom
D8,184.785,-57.15,90.0,bottom
D9,203.835,-57.15,90.0,bottom
S1,21.59,-58.42,0.0,top
S10,213.36,-58.42,0.0,top
S11,232.41,-58.42,0.0,top
S12,251.46,-58.42,0.0,top
S13,270.51,-58.42,0.0,top
S14,289.56,-58.42,0.0,top
S15,21.59,-77.47,0.0,top
S16,40.64,-77.47,0.0,top
S17,59.69,-77.47,0.0,top
S18,78.74,-77.47,0.0,top
S19,97.79,-77.47,0.0,top
S2,40.64,-58.42,0.0,top
S20,116.84,-77.47,0.0,top
S21,135.89,-77.47,0.0,top
S22,175.26,-77.47,0.0,top
S23,194.31,-77.47,0.0,top
S24,213.36,-77.47,0.0,top
S25,232.41,-77.47,0.0,top
S26,251.46,-77.47,0.0,top
S27,270.51,-77.47,0.0,top
S28,289.56,-77.47,0.0,top
S29,21.59,-96.52,0.0,top
S3,59.69,-58.42,0.0,top
S30,40.64,-96.52,0.0,top
S31,59.69,-96.52,0.0,top
S32,78.74,-96.52,0.0,top
S33,97.79,-96.52,0.0,top
S34,116.84,-96.52,0.0,top
S35,135.89,-96.52,0.0,top
S36,175.26,-96.52,0.0,top
S37,194.31,-96.52,0.0,top
S38,213.36,-96.52,0.0,top
S39,232.41,-96.52,0.0,top
S4,78.74,-58.42,0.0,top
S40,251.46,-96.52,0.0,top
S41,270.51,-96.52,0.0,top
S42,40.64,-115.57,0.0,top
S43,59.69,-115.57,0.0,top
S44,78.74,-115.57,0.0,top
S45,97.79,-115.57,0.0,top
S46,116.84,-115.57,0.0,top
S47,135.89,-115.57,0.0,top
S48,175.26,-115.57,0.0,top
S49,194.31,-115.57,0.0,top
S5,97.79,-58.42,0.0,top
S50,213.36,-115.57,0.0,top
S51,232.41,-115.57,0.0,top
S52,251.46,-115.57,0.0,top
S53,270.51,-115.57,0.0,top
S54,49.53,-134.62,0.0,top
S55,68.58,-134.62,0.0,top
S56,87.63,-134.62,0.0,top
S57,125.73,-134.62,0.0,top
S58,184.15,-134.62,0.0,top
S59,222.25,-134.62,0.0,top
S6,116.84,-58.42,0.0,top
S60,241.3,-134.62,0.0,top
S61,260.35,-134.62,0.0,top
S62,21.59,-35.56,0.0,top
S7,135.89,-58.42,0.0,top
S8,175.26,-58.42,0.0,top
S9,194.31,-58.42,0.0,top
U1,328.295,-75.175,0.0,top
